resultId,raceId,driverId,constructorId,grid,positionOrder,points,laps,milliseconds,fastestLap,rank,statusId
434,38,26,5,19,22,0,0,-1,-1,-1,4
435,39,13,6,1,1,1000,65,5496230,14,1,1
436,39,1,1,4,2,800,65,5503020,20,2,1
437,39,4,1,2,3,600,65,5513686,17,3,1
438,39,9,2,5,4,500,65,5527845,20,5,1
439,39,14,9,9,5,400,65,5554561,18,8,1
440,39,3,3,11,6,300,65,5555768,60,10,1
441,39,5,4,8,7,200,65,5558358,32,4,1
442,39,11,8,13,8,100,64,-1,23,12,11
443,39,21,4,10,9,0,64,-1,57,9,11
444,39,22,11,12,10,0,64,-1,16,14,11
445,39,19,8,15,11,0,64,-1,59,15,11
446,39,18,11,14,12,0,64,-1,64,13,11
447,39,16,12,20,13,0,63,-1,57,16,12
448,39,27,12,21,14,0,63,-1,61,18,12
449,39,2,2,7,15,0,46,-1,22,7,6
450,39,23,7,17,16,0,44,-1,37,11,22
451,39,24,5,16,17,0,19,-1,18,17,31
452,39,26,5,22,18,0,9,-1,6,20,27
453,39,8,6,3,19,0,9,-1,7,6,22
454,39,15,7,6,20,0,8,-1,6,19,32
455,39,17,9,19,21,0,7,-1,4,21,9
456,39,25,3,18,22,0,1,-1,-1,-1,4
457,40,4,1,1,1,1000,78,6029329,44,1,1
458,40,1,1,2,2,800,78,6033424,28,2,1
459,40,13,6,3,3,600,78,6098443,47,4,1
460,40,21,4,4,4,500,77,-1,54,5,11
461,40,9,2,8,5,400,77,-1,39,3,11
462,40,2,2,7,6,300,77,-1,30,12,11
463,40,25,3,11,7,200,77,-1,40,7,11
464,40,8,6,16,8,100,77,-1,62,6,11
465,40,26,5,18,9,0,77,-1,73,10,11
466,40,22,11,9,10,0,77,-1,69,13,11
467,40,18,11,10,11,0,77,-1,40,9,11
468,40,3,3,5,12,0,77,-1,70,11,11
469,40,5,4,15,13,0,76,-1,72,14,5
470,40,14,9,13,14,0,76,-1,75,8,12
471,40,15,7,14,15,0,76,-1,53,18,12
472,40,23,7,20,16,0,76,-1,47,17,12
473,40,11,8,21,17,0,76,-1,74,15,12
474,40,19,8,17,18,0,76,-1,63,16,12
475,40,27,12,22,19,0,70,-1,70,20,30
476,40,16,12,19,20,0,53,-1,34,19,3
477,40,17,9,6,21,0,17,-1,17,21,6
478,40,24,5,12,22,0,2,-1,-1,-1,3
479,41,1,1,1,1,1000,70,6251292,37,2,1
480,41,2,2,3,2,800,70,6255635,19,3,1
481,41,25,3,19,3,600,70,6256617,67,11,1
482,41,5,4,22,4,500,70,6258021,67,13,1
483,41,8,6,4,5,400,70,6264299,21,5,1
484,41,11,8,11,6,300,70,6267990,47,12,1
485,41,4,1,2,7,200,70,6273228,46,1,1
486,41,23,7,18,8,100,70,6274180,38,10,1
487,41,17,9,6,9,0,70,6274252,47,9,1
488,41,3,3,7,10,0,70,6275276,42,6,1
489,41,19,8,17,11,0,70,6275610,36,15,1
490,41,22,11,13,12,0,70,6281731,62,14,1
491,41,15,7,10,13,0,58,-1,12,17,3
492,41,24,5,12,14,0,54,-1,9,19,3
493,41,27,12,21,15,0,47,-1,21,18,33
494,41,14,9,14,16,0,36,-1,19,16,6
495,41,9,2,8,17,0,26,-1,19,8,3
496,41,16,12,20,18,0,21,-1,20,20,3
497,41,26,5,16,19,0,8,-1,6,21,3
498,41,18,11,15,20,0,0,-1,-1,-1,6
499,41,13,6,5,21,0,51,-1,22,4,2
500,41,21,4,9,22,0,51,-1,22,7,2
501,42,1,1,1,1,1000,73,5469965,20,2,1
502,42,4,1,2,2,800,73,5471465,21,3,1
503,42,13,6,3,3,600,73,5482765,50,4,1
504,42,8,6,4,4,500,73,5485365,49,1,1
505,42,5,4,6,5,400,73,5511365,67,7,1
506,42,15,7,8,6,300,73,5536665,30,10,1
507,42,17,9,9,7,200,73,5537265,57,8,1
508,42,20,2,7,8,100,73,5537665,53,6,1
509,42,21,4,10,9,0,72,-1,67,9,11
510,42,25,3,17,10,0,72,-1,41,13,11
511,42,19,8,16,11,0,72,-1,55,12,11
512,42,18,11,13,12,0,72,-1,42,14,11
513,42,26,5,20,13,0,71,-1,66,16,12
514,42,16,12,21,14,0,71,-1,49,15,12
515,42,27,12,22,15,0,70,-1,65,18,13
516,42,3,3,14,16,0,68,-1,34,11,5
517,42,24,5,19,17,0,68,-1,64,17,34
518,42,2,2,5,18,0,56,-1,20,5,7
519,42,11,8,18,19,0,13,-1,8,19,20
520,42,14,9,11,20,0,0,-1,-1,-1,4
521,42,22,11,15,21,0,0,-1,-1,-1,4
522,42,23,7,12,22,0,0,-1,-1,-1,4
523,43,8,6,3,1,1000,70,5454200,20,2,1
524,43,13,6,1,2,800,70,5456614,42,1,1
525,43,1,1,2,3,600,70,5486353,39,4,1
526,43,9,2,4,4,500,70,5495927,44,10,1
527,43,2,2,7,5,400,70,5503001,70,7,1
528,43,21,4,5,6,300,70,5506140,70,5,1
529,43,4,1,10,7,200,70,5510716,36,3,1
530,43,18,11,12,8,100,70,5513085,70,6,1
531,43,3,3,9,9,0,70,5522705,69,9,1
532,43,23,7,11,10,0,69,-1,68,8,11
533,43,22,11,13,11,0,69,-1,68,12,11
534,43,17,9,14,12,0,69,-1,69,14,11
535,43,14,9,16,13,0,69,-1,68,15,11
536,43,25,3,18,14,0,69,-1,69,13,11
537,43,5,4,6,15,0,69,-1,69,11,11
538,43,11,8,22,16,0,68,-1,39,16,12
