gameid,leagueid,hometeamid,awayteamid,year,homegoals,awaygoals
622,2,113,111,2015,1,1
623,2,97,100,2015,0,1
624,2,112,102,2015,2,0
625,2,101,109,2015,3,2
626,2,94,99,2015,1,1
627,2,104,96,2015,2,1
628,2,107,103,2015,3,0
629,2,105,110,2015,2,1
630,2,106,98,2015,0,0
631,2,108,101,2015,2,0
632,2,103,97,2015,1,2
633,2,100,106,2015,1,1
634,2,102,94,2015,4,1
635,2,99,112,2015,1,0
636,2,111,104,2015,2,1
637,2,98,107,2015,2,0
638,2,96,113,2015,3,0
639,2,110,95,2015,1,2
640,2,109,105,2015,0,1
641,2,97,106,2015,0,1
642,2,112,103,2015,2,1
643,2,94,110,2015,0,2
644,2,111,109,2015,1,0
645,2,105,100,2015,2,0
646,2,95,99,2015,3,1
647,2,107,96,2015,2,1
648,2,104,98,2015,1,0
649,2,113,101,2015,3,3
650,2,102,108,2015,1,1
651,2,98,113,2015,2,1
652,2,106,95,2015,1,0
653,2,110,112,2015,4,1
654,2,101,105,2015,0,0
655,2,97,107,2015,3,0
656,2,103,94,2015,0,0
657,2,99,104,2015,0,0
658,2,96,111,2015,1,3
659,2,109,102,2015,1,1
660,2,100,108,2015,0,1
661,2,94,97,2015,0,2
662,2,111,107,2015,0,0
663,2,113,106,2015,0,1
664,2,104,103,2015,1,0
665,2,100,109,2015,1,0
666,2,95,96,2015,2,0
667,2,108,98,2015,1,3
668,2,112,101,2015,2,2
669,2,105,99,2015,1,0
670,2,102,110,2015,0,2
671,2,97,95,2015,2,2
672,2,98,111,2015,1,0
673,2,94,105,2015,0,2
674,2,96,100,2015,1,1
675,2,99,102,2015,1,0
676,2,103,109,2015,1,2
677,2,110,108,2015,2,2
678,2,101,104,2015,2,1
679,2,107,113,2015,0,1
680,2,106,112,2015,4,0
681,2,113,97,2015,2,0
682,2,111,102,2015,4,1
683,2,95,107,2015,0,2
684,2,112,94,2015,3,2
685,2,101,103,2015,1,2
686,2,109,99,2015,2,3
687,2,108,96,2015,1,0
688,2,100,98,2015,0,3
689,2,104,110,2015,1,1
690,2,105,106,2015,2,1
691,2,96,98,2015,0,2
692,2,113,95,2015,1,1
693,2,106,101,2015,1,0
694,2,97,105,2015,3,2
695,2,107,100,2015,3,0
696,2,110,99,2015,3,0
697,2,112,109,2015,0,2
698,2,94,108,2015,0,1
699,2,102,104,2015,1,3
700,2,103,111,2015,0,0
701,2,101,97,2015,0,1
702,2,100,112,2015,4,1
703,2,99,106,2015,0,4
704,2,111,94,2015,1,1
705,2,109,107,2015,1,0
706,2,108,103,2015,3,0
707,2,105,95,2015,0,0
708,2,98,110,2015,3,1
709,2,96,102,2015,1,1
710,2,97,108,2015,2,3
711,2,103,98,2015,2,3
712,2,110,109,2015,2,0
713,2,107,105,2015,1,3
714,2,94,104,2015,1,1
715,2,95,101,2015,2,0
716,2,102,100,2015,2,0
717,2,113,99,2015,0,1
718,2,112,111,2015,2,4
719,2,106,96,2015,1,2
720,2,101,102,2016,2,3
721,2,99,107,2016,2,1
722,2,109,95,2016,3,3
723,2,100,110,2016,1,3
724,2,104,112,2016,2,2
725,2,98,94,2016,3,0
726,2,96,103,2016,0,0
727,2,111,97,2016,0,1
728,2,108,106,2016,0,1
729,2,105,113,2016,2,1
730,2,103,99,2016,2,1
731,2,110,96,2016,1,3
732,2,95,111,2016,1,1
733,2,106,104,2016,0,1
734,2,107,101,2016,0,2
735,2,97,109,2016,0,1
736,2,113,108,2016,0,1
737,2,112,105,2016,1,5
738,2,94,100,2016,0,1
739,2,102,98,2016,1,2
740,2,107,106,2016,1,1
741,2,113,112,2016,4,2
742,2,105,104,2016,3,1
743,2,101,100,2016,4,0
744,2,97,96,2016,2,2
745,2,99,98,2016,0,4
746,2,95,94,2016,1,1
747,2,109,108,2016,1,1
748,2,103,102,2016,2,1
749,2,111,110,2016,2,0
750,2,104,113,2016,1,1
751,2,112,107,2016,0,0
752,2,108,111,2016,2,2
753,2,110,113,2016,2,0
754,2,102,105,2016,2,4
755,2,106,103,2016,1,1
756,2,104,97,2016,0,2
757,2,94,101,2016,1,1
758,2,96,109,2016,4,1
759,2,100,99,2016,4,1
760,2,98,95,2016,1,0
761,2,103,100,2016,1,1
762,2,107,104,2016,1,1
763,2,95,112,2016,3,1
764,2,109,98,2016,0,4
765,2,99,96,2016,0,0
766,2,113,94,2016,0,0
767,2,105,108,2016,5,1
768,2,101,110,2016,0,0
769,2,97,102,2016,3,2
770,2,111,106,2016,3,0
771,2,104,95,2016,0,2
772,2,112,97,2016,1,0
773,2,110,103,2016,2,1
774,2,106,109,2016,1,0
775,2,98,101,2016,1,0
776,2,100,111,2016,0,2
777,2,96,105,2016,0,2
778,2,102,113,2016,2,2
779,2,108,99,2016,1,1
780,2,94,107,2016,2,1
781,2,97,110,2016,1,1
782,2,101,96,2016,0,0
783,2,94,106,2016,3,3
784,2,112,98,2016,0,2
785,2,104,100,2016,2,2
786,2,105,103,2016,1,0
787,2,113,109,2016,1,2
788,2,111,99,2016,1,1
789,2,107,108,2016,0,0
790,2,95,102,2016,2,1
791,2,96,94,2016,5,2
792,2,103,95,2016,1,3
793,2,108,112,2016,1,2
794,2,109,104,2016,1,1
795,2,98,105,2016,1,0
796,2,111,101,2016,2,1
797,2,100,113,2016,1,3
798,2,102,107,2016,0,0
799,2,99,97,2016,0,1
800,2,110,106,2016,2,1
801,2,97,98,2016,0,0
802,2,94,109,2016,3,1
803,2,106,102,2016,3,1
804,2,101,99,2016,2,1
805,2,104,108,2016,3,2
806,2,107,110,2016,2,3
807,2,113,103,2016,0,0
808,2,112,96,2016,0,0
809,2,95,100,2016,5,0
810,2,105,111,2016,1,1
811,2,108,95,2016,1,3
812,2,111,113,2016,1,0
813,2,100,97,2016,0,0
814,2,102,112,2016,2,0
815,2,109,101,2016,1,0
816,2,99,94,2016,2,0
817,2,103,107,2016,1,1
818,2,98,106,2016,2,0
819,2,96,104,2016,0,2
820,2,110,105,2016,1,1
821,2,95,110,2016,4,1
822,2,94,102,2016,0,3
823,2,105,109,2016,3,1
824,2,113,96,2016,1,1
825,2,104,111,2016,2,0
826,2,107,98,2016,0,2
827,2,101,108,2016,1,0
828,2,97,103,2016,0,0
829,2,112,99,2016,2,0
830,2,106,100,2016,3,1
831,2,98,104,2016,1,0
832,2,108,102,2016,1,1
833,2,106,97,2016,2,1
834,2,109,111,2016,0,0
835,2,99,95,2016,1,2
836,2,103,112,2016,2,1
837,2,110,94,2016,1,1
838,2,101,113,2016,3,2
839,2,96,107,2016,2,0
840,2,100,105,2016,0,1
841,2,108,100,2016,0,0
842,2,95,106,2016,1,1
843,2,107,97,2016,2,0
844,2,94,103,2016,1,2
845,2,102,109,2016,0,1
846,2,112,110,2016,0,0
847,2,113,98,2016,1,4
848,2,104,99,2016,1,1
849,2,105,101,2016,3,1
850,2,111,96,2016,1,1
851,2,103,104,2016,1,3
852,2,98,108,2016,1,0
853,2,99,105,2016,3,1
854,2,109,100,2016,3,1
855,2,96,95,2016,1,4
856,2,110,102,2016,1,1
857,2,101,112,2016,4,0
858,2,107,111,2016,2,1
859,2,106,113,2016,1,2
860,2,97,94,2016,0,1
861,2,112,106,2016,0,1
862,2,104,101,2016,0,1
863,2,109,103,2016,1,0
864,2,111,98,2016,1,2
865,2,108,110,2016,2,0
866,2,105,94,2016,3,0
867,2,113,107,2016,2,1
868,2,102,99,2016,2,0
869,2,100,96,2016,0,3
870,2,95,97,2016,1,1
871,2,97,113,2016,0,1
872,2,103,101,2016,4,1
873,2,106,105,2016,2,0
874,2,107,95,2016,3,3
875,2,110,104,2016,3,1
876,2,98,100,2016,4,0
877,2,99,109,2016,0,0
878,2,94,112,2016,1,2
879,2,96,108,2016,2,0
880,2,102,111,2016,0,1
881,2,105,97,2016,6,0
882,2,104,102,2016,0,0
